Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAD0-COMP-025,55GAD0-MTE-2001,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,ATG-0322,general actuator valve,valve box,DONE
D1-N9-GAD0-COMP-026,55GAD0-MTE-2002,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-027,55GAD0-MTE-2003,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,IR Cam-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-028,55GAD0-MTE-2004,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,IR Cam-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-029,55GAD0-MTE-2101,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,VIS Cam-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-030,55GAD0-MTE-2102,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,VIS Cam-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-031,55GAD0-MTE-2103,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,AM-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-032,55GAD0-MTE-2104,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,-,AM-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAD0-COMP-033,55GAD0-MTE-2105,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-034,55GAD0-MTE-2106,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-035,55GAD0-MTE-2107,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-036,55GAD0-MTE-2108,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-037,55GAD0-MTE-2109,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-038,55GAD0-MTE-2110,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-039,55GAD0-MTE-2111,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-040,55GAD0-MTE-2112,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-041,55GAD0-MTE-2113,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-042,55GAD0-MTE-2114,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
