Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAD0-COMP-123,55GAD0-RCK-3200,RF macthing box,RF matching box 2,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,Shielded Electronics Rack,55GAD0-PSU-9214,,,,,,,,,
-,TBD,RF active matching media converter,RF matching box 1 media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.02,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,RF active matching media converter,RF matching box 2 media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.03,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,Camera Media Converter,IR CAM1 Media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.04,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,Camera Media Converter,IR CAM2 Media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.05,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,Camera Media Converter,VIS CAM1 Media Converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.06,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,Camera Media Converter,VIS CAM2 Media Converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.07,Shielded Electronics Rack,N/A,,,,,,,,,
D1-N9-GAD0-COMP-124,55GAD0-MPE-7073,Pressure sensor,Chilled water pressure sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-125,55GAD0-MTE-7373,Thermocouple: N Type,Chilled water temperature sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-126,55GAD0-MPE-7075,Pressure sensor,Chilled water pressure sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-127,55GAD0-MPE-7076,Thermocouple: N Type,Chilled water temperature sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-128,55GAD0-MFE-7074,flow sensor,Chilled water flow sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-129,55GAD0-ATC-1008,Actuator,Chilled water valve actuator,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-130,55GAD0-MPE-7071,Pressure sensor,Chilled water pressure sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-131,55GAD0-MTE-7371,Thermocouple: N Type,Chilled water temperature sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-132,55GAD0-MPE-7072,Pressure sensor,Chilled water pressure sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-133,55GAD0-MPE-7071,Thermocouple: N Type,Chilled water temperature sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-134,55GAD0-MFE-7073,flow sensor,Chilled water flow sensor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-135,55GAD0-ATC-1007,Actuator,Chilled water valve actuator,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-136,55GAD0-PSU-9211,RF generator 1,RF generator,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-137,55GAD0-PSU-9214,RF generator 2,RF generator,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-138,55GAD0-SWT-9001,"Managed 24-port Full Gigabit 19"" Switch with redundant PSU ","Hirschmann MACH 104, mach104-20tx-fr HIR942003101 ",unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,N/A,,,,,,,,,
D1-N9-GAD0-COMP-139,55GAD0-SWT-9002,LAN hub,LAN Hub (ITER catalogue),unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,N/A,,,,,,,,,
D1-N9-GAD0-COMP-140,55GAD0-PLC-9001,Cubicle monitoring with Siemens Simatic PLC,Siemens Simatic S7-1200,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,N/A,,,,,,,,,
D1-N9-GAD0-COMP-141,55GAD0-PCF-9001,I&C grade master controller computer,I&C grade computer,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,N/A,,,,,,,,,
D1-N9-GAD0-COMP-142,55GAD0-PSU-9005,Programmable DC filament PSU,Custom under design,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-143,55GAD0-SCI-9101,filament signal conditioning unit,Custom under design,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-144,55GAD0-MTC-9001,Blackbody oven controller,Mikron M330 blackbodies,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-145,55GAD0-CMO-9001,12 Axis motor controller,PI C-663. 12C885,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-146,55GAD0-CU-7301,Local Control Cubicle for UP#14,Cubicle,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,N/A,,,,,,,,,
D1-N9-GAD0-COMP-147,55GAD0-PSU-9001,DCPS #1,Keysight N700,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-148,55GAD0-PSU-9002,DCPS #2,Keysight N701,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-149,55GAD0-PSU-9003,DCPS #3,Keysight N702,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
D1-N9-GAD0-COMP-150,55GAD0-PSU-9004,DCPS #4,Keysight N703,unconfirmed,74-L2-04,PA 5.5.P3.US.01,55GAD0-CU-7302,55GAD0-PCF-9001,,,,,,,,,
-,55GAD0-MZL-0301,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0301,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0315,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0315,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0317,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0317,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0319,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0319,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0321,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0321,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0322,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0322,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZL-0323,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MZH-0323,limit switch,pneumatic acturator limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MP-0001,Pressure sensor,Pressure measurement at pneumatic control valve,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MP-0002,Pressure sensor,Pressure measurement at pneumatic control valve,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-MP-0004,Pressure sensor,Pressure measurement at pneumatic control valve,unconfirmed,11-L2-C15,PA 5.5.P3.US.02,N/A,55GAD0-PLC-9003,,,,,,,,,
D1-N9-GAD0-COMP-163,55GAD0-PL-4401,Pump ,Shutter actuator pump 1,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-164,55GAD0-PL-4402,Pump ,Shutter actuator pump 2,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATG-0301,Actuator,Electromagnetic acutator for VG-0301,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATG-0315,Actuator,Electromagnetic acutator for VG-0315,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATG-0317,Actuator,Electromagnetic acutator for VG-0317,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATG-0319,Actuator,Electromagnetic acutator for VG-0319,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATG-0321,Actuator,Electromagnetic acutator for VG-0321,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATC-0322,Actuator,Electromagnetic acutator for VG-0322,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
-,55GAD0-ATC-0010,Actuator,Electromagnetic acutator for VG-0323,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-171,55GAD0-ATC-1010,Actuator,Chilled water valve actuator,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,
