Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAA0-COMP-022,55GAA0-MTE-1501,Thermocouple: N Type,A30 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,ATG-0301,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-023,55GAA0-MTE-1601,Thermocouple: N Type,A30 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZH-0322,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-024,55GAA0-MTE-1701,Thermocouple: N Type,A30 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZL-0322,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-025,55GAA0-MTE-2001,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,ATG-0322,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-026,55GAA0-MTE-2002,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-027,55GAA0-MTE-2003,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,IR Cam-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-028,55GAA0-MTE-2004,Thermocouple: N Type,Window Thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,IR Cam-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-029,55GAA0-MTE-2101,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,VIS Cam-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-030,55GAA0-MTE-2102,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,VIS Cam-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-031,55GAA0-MTE-2103,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,AM-1 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-032,55GAA0-MTE-2104,Thermocouple: N Type,IOT structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,-,AM-2 media converter,Shielded Electronics Rack,DONE
D1-N9-GAA0-COMP-033,55GAA0-MTE-2105,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-034,55GAA0-MTE-2106,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-035,55GAA0-MTE-2107,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-036,55GAA0-MTE-2108,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-037,55GAA0-MTE-2109,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-038,55GAA0-MTE-2110,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-039,55GAA0-MTE-2111,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-040,55GAA0-MTE-2112,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-041,55GAA0-MTE-2113,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-042,55GAA0-MTE-2114,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-043,55GAA0-MTE-2115,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-044,55GAA0-MTE-2116,Thermocouple: N Type,A50 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-045,55GAA0-MTE-2301,Thermocouple: N Type,A40 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-046,55GAA0-MTE-2302,Thermocouple: N Type,A40 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-047,55GAA0-MZL-2301,Low limit switch,A40 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-048,55GAA0-MZH-2301,high limit switch,A40 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-049,55GAA0-MZL-2302,Low limit switch,A40 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-050,55GAA0-MZH-2302,high limit switch,A40 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-051,55GAA0-GM-2301,Motor,A40 M1 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-052,55GAA0-GM-2302,Motor,A40 M1 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-053,55GAA0-MTE-2401,Thermocouple: N Type,A40 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-054,55GAA0-MTE-2402,Thermocouple: N Type,A40 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-055,55GAA0-MTE-2403,Thermocouple: N Type,A40 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-056,55GAA0-MZL-2401,Low limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-057,55GAA0-MZH-2401,high limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-058,55GAA0-MZL-2402,Low limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-059,55GAA0-MZH-2402,high limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-060,55GAA0-MZL-2403,Low limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-061,55GAA0-MZH-2403,high limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-062,55GAA0-GM-2401,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-063,55GAA0-GM-2402,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-064,55GAA0-GM-2403,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9003,,,,,,,,,
D1-N9-GAA0-COMP-065,55GAA0-MTE-2201,Thermocouple: N Type,BOL structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-066,55GAA0-MTE-2202,Thermocouple: N Type,BOL structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-067,55GAA0-MTE-2501,Thermocouple: N Type,A60 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-068,55GAA0-MTE-2502,Thermocouple: N Type,A60 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-069,55GAA0-MZH-2501,high limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-070,55GAA0-MZL-2501,Low limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-071,55GAA0-MZH-2502,high limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-072,55GAA0-MZL-2502,Low limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-073,55GAA0-GM-2501,Motor,A60 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-074,55GAA0-GM-2502,Motor,A60 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-075,55GAA0-MTE-2503,Thermocouple: N Type,A60 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-076,55GAA0-MTE-2504,Thermocouple: N Type,A60 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-077,55GAA0-MZH-2503,high limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-078,55GAA0-MZL-2503,Low limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-079,55GAA0-MZH-2504,high limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-080,55GAA0-MZL-2504,Low limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-081,55GAA0-GM-2503,Motor,A60 M1 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-082,55GAA0-GM-2504,Motor,A60 M21 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-083,55GAA0-MZS-3301,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-084,55GAA0-MZS-3302,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-085,55GAA0-MZS-3303,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-086,55GAA0-MZS-3304,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-087,55GAA0-MZS-3305,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-088,55GAA0-MZS-3306,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-089,55GAA0-MZH-3202,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-090,55GAA0-MZL-3202,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-091,55GAA0-MZH-3204,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-092,55GAA0-MZL-3204,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-093,55GAA0-GM-3301,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-094,55GAA0-GM-3302,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-095,55GAA0-GM-3303,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-096,55GAA0-GM-3304,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-097,55GAA0-GM-3305,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-098,55GAA0-GM-3306,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-099,55GAA0-MTE-3101,Thermocouple: N Type,Calibration Assembly thermocouple: BB source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-100,55GAA0-MTE-3102,Thermocouple: N Type,Calibration Assembly thermocouple : BB source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-101,55GAA0-MTE-3103,Thermocouple: N Type,Calibration Assembly thermocouple : IS source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-102,55GAA0-MTE-3104,Thermocouple: N Type,Calibration Assembly thermocouple : IS source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-103,55GAA0-MTE-3105,Thermocouple: N Type,Diachromatic splitter thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-104,55GAA0-CSO-3101,Calibration source : Blackbody,Calibration source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-SCI-9101,,,,,,,,,
D1-N9-GAA0-COMP-105,55GAA0-CSO-3102,Calibration source: Integrated sphere,Calibration source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-SCI-9101,,,,,,,,,
D1-N9-GAA0-COMP-106,55GAA0-MTE-3201,Thermocouple: N Type,A70 W1 Temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-107,55GAA0-MTE-3202,Thermocouple: N Type,A70 S1 Temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-108,55GAA0-MTE-3203,Thermocouple: N Type,A80 temperature : Spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-109,55GAA0-MTE-3204,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-110,55GAA0-MTE-3205,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-111,55GAA0-MTE-3206,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-112,55GAA0-MTE-3207,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-113,55GAA0-MTE-3208,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-114,55GAA0-MTE-3209,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-115,55GAA0-MTE-3210,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-116,55GAA0-GM-3302,Motor,visible camera linear stage,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-117,55GAA0-GM-3304,Motor,visible camera linear stage,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-CMO-9001,,,,,,,,,
D1-N9-GAA0-COMP-118,55GAA0-MZH-3202,high limit switch,visible camera linear stage high limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-119,55GAA0-MZL-3202,Low limit switch,visible camera linear stage low limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-120,55GAA0-MZH-3204,high limit switch,visible camera linear stage high limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-121,55GAA0-MZL-3204,Low limit switch,visible camera linear stage low limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,,,,
D1-N9-GAA0-COMP-122,55GAA0-RCK-3100,RF macthing box,RF matching box 1,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,Shielded Electronics Rack,55GAA0-PSU-9212,,,,,,,,,
D1-N9-GAA0-COMP-123,55GAA0-RCK-3200,RF macthing box,RF matching box 2,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,Shielded Electronics Rack,55GAA0-PSU-9214,,,,,,,,,
-,TBD,RF active matching media converter,RF matching box 1 media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.02,Shielded Electronics Rack,N/A,,,,,,,,,
-,TBD,RF active matching media converter,RF matching box 2 media converter,unconfirmed,11-L2-C14,PA 5.5.P3.US.03,Shielded Electronics Rack,N/A,,,,,,,,,
