Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAA0-SIG-019,55GAA0-MTE-1103:TE-CRC,55GAA0-MTE-1103,A10 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-020,55GAA0-WMM-1211:JT-CRC,55GAA0-WMM-1211,A10 Aseembly mirror 1 RF input,A,I,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-021,55GAA0-WMM-1211:JT-CRC,55GAA0-WMM-1211,A10 Aseembly mirror 1 RF return,A,O,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-022,55GAA0-WMM-1214:JT-CRC,55GAA0-WMM-1214,A10 Aseembly mirror 2 RF input,A,I,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-023,55GAA0-WMM-1214:JT-CRC,55GAA0-WMM-1214,A10 Aseembly mirror 2 return,A,O,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-024,55GAA0-CSO-1101:ET-CRC,55GAA0-CSO-1101,A10 assembly clalibration source voltage,A,I,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-025,55GAA0-CSO-1102:ET-CRC,55GAA0-CSO-1102,A10 assembly clalibration source voltage measurement,A,O,P,custom,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-026,55GAA0-MTE-1201:TE-CRC,55GAA0-MTE-1201,A20 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-027,55GAA0-MTE-1202:TE-CRC,55GAA0-MTE-1202,A20 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-028,55GAA0-MTE-1401:TE-CRC,55GAA0-MTE-1401,A30 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-029,55GAA0-MTE-1501:TE-CRC,55GAA0-MTE-1501,A30 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-030,55GAA0-MTE-1601:TE-CRC,55GAA0-MTE-1601,A30 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-031,55GAA0-MTE-1701:TE-CRC,55GAA0-MTE-1701,A30 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-032,55GAA0-MTE-1401:TE-CRC,55GAA0-MTE-1401,A30 mirror thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-033,55GAA0-MTE-2001:TE-CRC,55GAA0-MTE-2001,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-034,55GAA0-MTE-2002:TE-CRC,55GAA0-MTE-2002,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-035,55GAA0-MTE-2003:TE-CRC,55GAA0-MTE-2003,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-036,55GAA0-MTE-2004:TE-CRC,55GAA0-MTE-2004,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-037,55GAA0-MZL-2401:ZL-CRC,55GAA0-MZL-2401,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-038,55GAA0-MZH-2401:ZH-CRC,55GAA0-MZH-2401,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-039,55GAA0-MTE-2401:TE-CRC,55GAA0-MTE-2401,A40 M2 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-040,55GAA0-GM-2401:CR-CCC,55GAA0-GM-2401,A40 M2 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-041,55GAA0-GM-2401:CR-CCC,55GAA0-GM-2401,A40 M2 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-042,55GAA0-GM-2401:CR-CCC,55GAA0-GM-2401,A40 M2 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-043,55GAA0-GM-2401:CR-CCC,55GAA0-GM-2401,A40 M2 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-044,55GAA0-MZL-2402:ZL-CRC,55GAA0-MZL-2402,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-045,55GAA0-MZH-2402:ZH-CRC,55GAA0-MZH-2402,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-046,55GAA0-MTE-2402:TE-CRC,55GAA0-MTE-2402,A40 M2 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-047,55GAA0-GM-2402:CR-CCC,55GAA0-GM-2402,A40 M2 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-048,55GAA0-GM-2402:CR-CCC,55GAA0-GM-2402,A40 M2 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-049,55GAA0-GM-2402:CR-CCC,55GAA0-GM-2402,A40 M2 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-050,55GAA0-GM-2402:CR-CCC,55GAA0-GM-2402,A40 M2 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-051,55GAA0-MZL-2403:ZL-CRC,55GAA0-MZL-2403,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-052,55GAA0-MZH-2403:ZH-CRC,55GAA0-MZH-2403,A40 M2 limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
