Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAD0-SIG-011,55GAD0-PSU-8501:ET07-CCC,55GAD0-PSU-8501,Trigger signal for the Visible Camera #1 (if triggering is not achieved by GigE),A,O,P,0 +5 V,55GAD0-CU-7302,unconfirmed,,,,Tag need checking
D1-N9-GAD0-SIG-012,55GAD0-PSU-8501:ET08-CCC,55GAD0-PSU-8501,Trigger signal for the Visible Camera #2 (if triggering is not achieved by GigE),A,O,P,0 +5 V,55GAD0-CU-7302,unconfirmed,,,,
D1-N9-GAD0-SIG-013,55GAD0-PSU-8501:ET09-CCC,55GAD0-PSU-8501,Power signal for the IR Camera #1 transceiver (if camera is not fiber embedded),A,O,P,12 V DC,55GAD0-CU-7302,unconfirmed,,,,
D1-N9-GAD0-SIG-014,55GAD0-PSU-8501:ET10-CCC,55GAD0-PSU-8501,Power signal for the IR Camera #2 transceiver (if camera is not fiber embedded),A,O,P,12 V DC,55GAD0-CU-7302,unconfirmed,,,,
D1-N9-GAD0-SIG-015,55GAD0-PSU-8501:ET11-CCC,55GAD0-PSU-8501,Power signal for the Visible Camera #1  transceiver (if camera is not fiber embedded),A,O,P,12 V DC,55GAD0-CU-7302,unconfirmed,,,,Newly added/Edited
D1-N9-GAD0-SIG-016,55GAD0-PSU-8501:ET12-CCC,55GAD0-PSU-8501,Power signal for the Visible Camera #2  transceiver (if camera is not fiber embedded),A,O,P,12 V DC,55GAD0-CU-7302,unconfirmed,,,,
D1-N9-GAD0-SIG-017,55GAD0-MTE-1101:TE-CRC,55GAD0-MTE-1101,A10 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-018,55GAD0-MTE-1102:TE-CRC,55GAD0-MTE-1102,A10 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-019,55GAD0-MTE-1103:TE-CRC,55GAD0-MTE-1103,A10 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-020,55GAD0-WMM-1211:JT-CRC,55GAD0-WMM-1211,A10 Aseembly mirror 1 RF input,A,I,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-021,55GAD0-WMM-1211:JT-CRC,55GAD0-WMM-1211,A10 Aseembly mirror 1 RF return,A,O,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-022,55GAD0-WMM-1214:JT-CRC,55GAD0-WMM-1214,A10 Aseembly mirror 2 RF input,A,I,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-023,55GAD0-WMM-1214:JT-CRC,55GAD0-WMM-1214,A10 Aseembly mirror 2 return,A,O,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-024,55GAD0-CSO-1101:ET-CRC,55GAD0-CSO-1101,A10 assembly clalibration source voltage,A,I,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-025,55GAD0-CSO-1102:ET-CRC,55GAD0-CSO-1102,A10 assembly clalibration source voltage measurement,A,O,P,custom,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-026,55GAD0-MTE-1201:TE-CRC,55GAD0-MTE-1201,A20 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-027,55GAD0-MTE-1202:TE-CRC,55GAD0-MTE-1202,A20 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-028,55GAD0-MTE-1401:TE-CRC,55GAD0-MTE-1401,A30 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-029,55GAD0-MTE-1501:TE-CRC,55GAD0-MTE-1501,A30 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-030,55GAD0-MTE-1601:TE-CRC,55GAD0-MTE-1601,A30 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-031,55GAD0-MTE-1701:TE-CRC,55GAD0-MTE-1701,A30 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-032,55GAD0-MTE-1401:TE-CRC,55GAD0-MTE-1401,A30 mirror thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-033,55GAD0-MTE-2001:TE-CRC,55GAD0-MTE-2001,IOT structure thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-034,55GAD0-MTE-2002:TE-CRC,55GAD0-MTE-2002,IOT structure thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-035,55GAD0-MTE-2003:TE-CRC,55GAD0-MTE-2003,IOT structure thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-036,55GAD0-MTE-2004:TE-CRC,55GAD0-MTE-2004,IOT structure thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-037,55GAD0-MZL-2401:ZL-CRC,55GAD0-MZL-2401,A40 M2 limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-038,55GAD0-MZH-2401:ZH-CRC,55GAD0-MZH-2401,A40 M2 limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-039,55GAD0-MTE-2401:TE-CRC,55GAD0-MTE-2401,A40 M2 thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-040,55GAD0-GM-2401:CR-CCC,55GAD0-GM-2401,A40 M2 motor A+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-041,55GAD0-GM-2401:CR-CCC,55GAD0-GM-2401,A40 M2 motor A-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-042,55GAD0-GM-2401:CR-CCC,55GAD0-GM-2401,A40 M2 motor B+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-043,55GAD0-GM-2401:CR-CCC,55GAD0-GM-2401,A40 M2 motor B-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-044,55GAD0-MZL-2402:ZL-CRC,55GAD0-MZL-2402,A40 M2 limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-045,55GAD0-MZH-2402:ZH-CRC,55GAD0-MZH-2402,A40 M2 limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-046,55GAD0-MTE-2402:TE-CRC,55GAD0-MTE-2402,A40 M2 thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-047,55GAD0-GM-2402:CR-CCC,55GAD0-GM-2402,A40 M2 motor A+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
